,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,103.75,103.75,-70.3564850406894,-70.3564850406894,-70.3564850406894,-70.3564850406894,-70.3564850406894,-70.3564850406894,-70.3564850406894
2,46.75,46.75,-86.64598265696515,-86.64598265696515,-86.64598265696515,-86.64598265696515,-86.64598265696515,-86.64598265696515,-86.64598265696515
3,55.25,55.25,16.517868588898878,16.517868588898878,16.517868588898878,16.517868588898878,16.517868588898878,16.517868588898878,16.517868588898878
4,3.0,3.0,90.00003218077504,90.00003218077504,90.00003218077504,90.00003218077504,90.00003218077504,90.00003218077504,90.00003218077504
5,131.0,131.0,-88.17596589104151,-88.17596589104151,-88.17596589104151,-88.17596589104151,-88.17596589104151,-88.17596589104151,-88.17596589104151
6,81.75,81.75,5.89352809919097,5.89352809919097,5.89352809919097,5.89352809919097,5.89352809919097,5.89352809919097,5.89352809919097
7,12.0,12.0,-79.34396544761933,-79.34396544761933,-79.34396544761933,-79.34396544761933,-79.34396544761933,-79.34396544761933,-79.34396544761933
8,53.0,53.0,84.67193974681845,84.67193974681845,84.67193974681845,84.67193974681845,84.67193974681845,84.67193974681845,84.67193974681845
9,49.5,49.5,-73.21501824935648,-73.21501824935648,-73.21501824935648,-73.21501824935648,-73.21501824935648,-73.21501824935648,-73.21501824935648
10,307.0,307.0,-83.16308727212105,-83.16308727212105,-83.16308727212105,-83.16308727212105,-83.16308727212105,-83.16308727212105,-83.16308727212105
11,369.75,369.75,-56.26466777805792,-56.26466777805792,-56.26466777805792,-56.26466777805792,-56.26466777805792,-56.26466777805792,-56.26466777805792
12,55.25,55.25,-86.4780689570711,-86.4780689570711,-86.4780689570711,-86.4780689570711,-86.4780689570711,-86.4780689570711,-86.4780689570711
13,3.75,3.75,45.00001609038752,45.00001609038752,45.00001609038752,45.00001609038752,45.00001609038752,45.00001609038752,45.00001609038752
14,21.0,21.0,-57.90663060581654,-57.90663060581654,-57.90663060581654,-57.90663060581654,-57.90663060581654,-57.90663060581654,-57.90663060581654
15,38.25,38.25,-58.43330677220405,-58.43330677220405,-58.43330677220405,-58.43330677220405,-58.43330677220405,-58.43330677220405,-58.43330677220405
16,355.75,355.75,-86.934654670077,-86.934654670077,-86.934654670077,-86.934654670077,-86.934654670077,-86.934654670077,-86.934654670077
17,17.25,17.25,85.68721517626106,85.68721517626106,85.68721517626106,85.68721517626106,85.68721517626106,85.68721517626106,85.68721517626106
18,74.0,74.0,17.243994996814646,17.243994996814646,17.243994996814646,17.243994996814646,17.243994996814646,17.243994996814646,17.243994996814646
19,43.0,43.0,33.83704739655952,33.83704739655952,33.83704739655952,33.83704739655952,33.83704739655952,33.83704739655952,33.83704739655952
20,89.5,89.5,-52.80467386328088,-52.80467386328088,-52.80467386328088,-52.80467386328088,-52.80467386328088,-52.80467386328088,-52.80467386328088
21,73.25,73.25,82.13005706486594,82.13005706486594,82.13005706486594,82.13005706486594,82.13005706486594,82.13005706486594,82.13005706486594
22,326.0,326.0,55.515472521575276,55.515472521575276,55.515472521575276,55.515472521575276,55.515472521575276,55.515472521575276,55.515472521575276
23,80.25,80.25,30.695380686982514,30.695380686982514,30.695380686982514,30.695380686982514,30.695380686982514,30.695380686982514,30.695380686982514
24,30.75,30.75,-13.778821682343702,-13.778821682343702,-13.778821682343702,-13.778821682343702,-13.778821682343702,-13.778821682343702,-13.778821682343702
25,104.5,104.5,-54.60640776912661,-54.60640776912661,-54.60640776912661,-54.60640776912661,-54.60640776912661,-54.60640776912661,-54.60640776912661
26,211.75,211.75,44.1669016758394,44.1669016758394,44.1669016758394,44.1669016758394,44.1669016758394,44.1669016758394,44.1669016758394
27,147.25,147.25,81.91104417118106,81.91104417118106,81.91104417118106,81.91104417118106,81.91104417118106,81.91104417118106,81.91104417118106
28,4.5,4.5,-2.6000138488768876,-2.6000138488768876,-2.6000138488768876,-2.6000138488768876,-2.6000138488768876,-2.6000138488768876,-2.6000138488768876
29,249.75,249.75,59.52175075220649,59.52175075220649,59.52175075220649,59.52175075220649,59.52175075220649,59.52175075220649,59.52175075220649
30,86.25,86.25,-19.448173408317903,-19.448173408317903,-19.448173408317903,-19.448173408317903,-19.448173408317903,-19.448173408317903,-19.448173408317903
31,39.75,39.75,-85.55985401602499,-85.55985401602499,-85.55985401602499,-85.55985401602499,-85.55985401602499,-85.55985401602499,-85.55985401602499
32,459.25,459.25,59.993652049286176,59.993652049286176,59.993652049286176,59.993652049286176,59.993652049286176,59.993652049286176,59.993652049286176
33,5.5,5.5,-12.557421933154789,-12.557421933154789,-12.557421933154789,-12.557421933154789,-12.557421933154789,-12.557421933154789,-12.557421933154789
34,178.25,178.25,13.167416897091973,13.167416897091973,13.167416897091973,13.167416897091973,13.167416897091973,13.167416897091973,13.167416897091973
35,15.5,15.5,63.514476997692014,63.514476997692014,63.514476997692014,63.514476997692014,63.514476997692014,63.514476997692014,63.514476997692014
36,10.5,10.5,-56.468913061862786,-56.468913061862786,-56.468913061862786,-56.468913061862786,-56.468913061862786,-56.468913061862786,-56.468913061862786
