Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
187,,250.5,17.859073490978144,46.00023091911403,20.96575943081326,15.60783292933878,66.42335854398792,43.0,199.22055888223554,226.0
188,,86.0,10.464157913908982,3.4946220069810887,12.031446782248098,9.291945563795839,37.92031021678297,66.0,203.57848837209303,229.0
189,,134.25,13.074112164146964,29.39398914235753,14.030356549759942,12.406308070104204,46.2842712474619,65.0,196.09869646182494,224.0
190,,317.75,20.113971893676243,68.18167359459237,23.380356117514914,18.057813805676222,80.16904755831213,52.0,205.28009441384737,234.0
191,,48.75,7.878478774854901,-61.94286219813875,9.231853299109309,7.175572081485745,29.59188309203678,53.0,182.24615384615385,220.0
192,,42.25,7.334464586120832,-2.2906400593598186,8.741474774636043,6.287726147510835,25.106601717798213,56.0,194.301775147929,225.0
193,,86.75,10.509687459947386,16.329800106369582,11.061450494026378,10.188262689351523,38.42031021678298,44.0,198.95965417867436,230.0
194,,49.0,7.898654169668588,-75.93952870472722,9.605052190471786,6.717064953496566,28.088834764831844,51.0,186.93367346938774,219.0
195,,33.75,6.555290583552474,19.430883960992126,8.383653451742552,5.402575803135925,24.606601717798213,73.0,190.40740740740742,221.0
196,,64.75,9.079772052293041,-40.91578133886709,11.018145377342684,7.719264273274879,32.71320343559643,68.0,206.73359073359075,229.0
197,,93.0,10.881694613449236,-51.187556776270775,13.033777046107968,9.523273868330307,43.9558441227157,50.0,196.43010752688173,226.0
198,,79.5,10.060941497019325,-11.57089513309433,10.793332125535084,9.900773796262289,36.50609665440988,65.0,198.77672955974842,221.0
199,,154.5,14.02553063743339,19.832303841943013,16.04783437489877,12.409215687489846,51.23401871576773,27.0,197.01618122977345,224.0
200,,175.5,14.948362455500638,-44.41922502858271,17.494048403462504,13.271128020131632,55.85533905932738,58.0,204.76068376068375,232.0
201,,53.5,8.253382073025046,-76.93261947325023,8.841143013953472,7.926890166312826,29.727922061357855,39.0,184.15420560747663,221.0
202,,250.5,17.859073490978144,-24.76893793273298,20.599954871719433,16.34805641224872,72.08326112068522,1.0,198.41616766467067,224.0
203,,140.5,13.374982468597496,-85.44339978286727,13.806768119156938,13.04710670382224,46.54163056034261,67.0,206.8932384341637,235.0
204,,119.25,12.322086499845234,-1.639273057671212,16.08464080475729,11.347213889216924,52.16295090390226,48.0,192.58490566037736,224.0
205,,49.75,7.958873497585845,-51.849944050362154,9.133857441193399,7.072580825845346,28.17766952966369,58.0,200.48743718592965,229.0
206,,36.0,6.770275002573076,55.13017959343367,9.320668269268502,5.404879293263184,24.72792206135786,62.0,186.5,223.0
207,,65.0,9.09728368293446,1.5028525830039727,10.045792868976276,8.453428180359095,32.00609665440988,57.0,202.73846153846154,233.0
208,,151.75,13.900147514093545,-34.27389574752894,16.831671767452413,13.060812111076302,54.612698372208094,47.0,201.86326194398683,229.0
209,,99.75,11.269678104867614,49.675654572023994,12.918380280680093,10.074483729084246,41.05939751330899,28.0,198.28571428571428,229.0
210,,114.0,12.047792665040703,-67.48709007201825,15.571047477428692,10.449904777045635,46.8700576850888,62.0,205.41666666666666,228.0
211,,150.0,13.819765978853418,63.14986943863635,16.635158828653957,11.871037662727753,50.7842712474619,21.0,200.13333333333333,226.0
212,,35.75,6.746726148605861,37.91984597783391,8.881068783987335,5.3130941500548445,25.22792206135786,86.0,199.5034965034965,237.0
213,,97.25,11.127557940783529,-55.16932643743789,13.297138661614008,9.46175811913893,40.248737341529164,33.0,198.3650385604113,227.0
214,,32.5,6.432750982580687,88.82347855800803,7.316253825382367,5.917040212286928,22.81370849898476,53.0,192.13846153846154,231.0
215,,54.75,8.349243383340204,-67.24721203315013,9.291548999399122,7.851540226163762,30.384776310850235,64.0,192.35616438356163,225.0
216,,48.0,7.817640190446719,72.0132341718576,10.27537625168685,6.031562859256196,27.970562748477143,33.0,185.6875,224.0
217,,48.25,7.837972188868215,0.4770589951102429,10.036220751052278,6.330892568355462,28.97056274847714,40.0,191.58031088082902,224.0
218,,14.0,4.222008245644752,-87.30990786126107,5.137485730519923,3.7181114310362107,13.778174593052022,135.0,214.92857142857142,235.0
